"SubjectID","Set","ActivityName","SignalSource","Function","Axis","MeasurementValue"
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10798311
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10793379
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10762126
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10748863
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.1073364
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10698796
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10625819
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.1057035
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10563797
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10562315
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10527824
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10374518
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.10372571
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.099798821
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.096824565
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.029339182
1,"TRAIN","LAYING","tBodyAcc","mean","Z",-0.028333356
1,"TRAIN","LAYING","tBodyAcc","mean","Z",0.016658077
1,"TRAIN","LAYING","tBodyAcc","mean","Z",0.017374188
1,"TRAIN","LAYING","tBodyAcc","mean","Z",0.13303497
1,"TRAIN","LAYING","tBodyAcc","mean","Z",0.14803461
1,"TRAIN","LAYING","tBodyAcc","mean","Z",0.17689637
1,"TRAIN","LAYING","tBodyAcc","mean","Z",0.34665772
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99677544
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99647493
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99642945
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99628711
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99614315
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99613535
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99585495
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99566688
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99551063
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99549458
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99523745
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99523683
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99513738
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99502039
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99497148
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99493112
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99492812
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99478811
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99466309
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99458009
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99444613
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.9944254
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.9941946
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.9931253
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.99101601
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.98641338
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.98569313
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.98488259
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.98240327
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.98194347
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.97739515
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.96710073
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.96703313
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.96229044
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.96002148
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.95859648
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.95706759
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.95675297
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.95384561
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.91966606
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.91481115
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.80390335
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.75599409
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.73819996
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.68377891
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.66129361
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.63732529
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.63313536
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.59939182
1,"TRAIN","LAYING","tBodyAcc","std","X",-0.59641047
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99835905
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99727068
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99725636
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99659185
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99657148
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99637166
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99596875
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99581156
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99581009
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99554804
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99543722
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99533986
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99487263
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99481239
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99406876
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99403787
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99383336
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99274935
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99240921
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99219394
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99187043
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99111837
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.99103132
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.990001
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.98676377
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.98529915
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.98287187
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.97982784
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.97373558
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.94990104
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.94670845
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.94488138
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.94090804
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.93951623
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.93132033
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.92420225
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.90805582
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.89590544
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.89523112
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.87810967
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.74174219
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.71335257
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.64257064
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.58759988
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.53851271
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.18977503
1,"TRAIN","LAYING","tBodyAcc","std","Y",-0.12769222
1,"TRAIN","LAYING","tBodyAcc","std","Y",0.024682958
1,"TRAIN","LAYING","tBodyAcc","std","Y",0.075259481
1,"TRAIN","LAYING","tBodyAcc","std","Y",0.53250573
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99868915
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99862454
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99647999
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99635754
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99609334
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99561514
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99542164
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99541907
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99540821
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99520044
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99515189
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.9948886
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99488582
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99451423
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99443045
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99415005
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.9940008
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99398513
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99318722
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99281446
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99241301
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99201143
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99186131
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.99020448
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.98819508
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.98466948
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.98323553
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.98211178
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.97617628
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.97067028
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.95284326
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.93625941
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.9010443
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.89174811
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.82490842
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.76724462
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.76304873
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.73615522
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.72608707
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.70115517
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.6955007
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.65180555
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.63071563
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.60538234
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.31933629
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.25892403
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.16040449
1,"TRAIN","LAYING","tBodyAcc","std","Z",-0.085059822
1,"TRAIN","LAYING","tBodyAcc","std","Z",0.0043240256
1,"TRAIN","LAYING","tBodyAcc","std","Z",0.057095425
1,"TRAIN","SITTING","tBodyAcc","mean","X",-0.041701306
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.013903671
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.14450396
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.22184689
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.23715407
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.26297624
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.2645391
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.26963511
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27090823
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27259354
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.2731084
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27328142
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.2733796
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27394057
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27426151
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27554943
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27559191
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27564442
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27575308
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.2761599
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27635864
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27682826
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27725766
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27727452
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27746121
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27750957
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27778196
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27790646
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27798405
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27832678
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27839415
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27843225
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27853812
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.2785991
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27866687
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27873199
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27905615
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.2790872
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.27930326
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.2795534
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.2799976
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.28150539
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.28725164
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.29075969
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.29811757
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.30368927
1,"TRAIN","SITTING","tBodyAcc","mean","X",0.31076307
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.037455064
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.035646628
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.02403476
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.020521383
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.019910142
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.019722322
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.019654302
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.019484036
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.019083242
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.018437222
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.018434859
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.018106346
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.017999434
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.017867041
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.01757272
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.017491016
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.017143471
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.017001147
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.016333594
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.01626097
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.016173432
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.016138088
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.016123297
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.015873588
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.015470231
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.014412968
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.014249297
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.014115159
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.013962574
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.01332633
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.013147584
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.012264695
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.011693149
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.011127209
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.010254163
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.0099401064
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.0089314391
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.0057626503
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.0042428053
1,"TRAIN","SITTING","tBodyAcc","mean","Y",-0.00028737053
1,"TRAIN","SITTING","tBodyAcc","mean","Y",0.0065181116
1,"TRAIN","SITTING","tBodyAcc","mean","Y",0.0078251224
1,"TRAIN","SITTING","tBodyAcc","mean","Y",0.018053586
1,"TRAIN","SITTING","tBodyAcc","mean","Y",0.034107675
1,"TRAIN","SITTING","tBodyAcc","mean","Y",0.15329608
1,"TRAIN","SITTING","tBodyAcc","mean","Y",0.17510248
1,"TRAIN","SITTING","tBodyAcc","mean","Y",0.18926326
1,"TRAIN","SITTING","tBodyAcc","mean","Z",-0.20554844
1,"TRAIN","SITTING","tBodyAcc","mean","Z",-0.17609097
1,"TRAIN","SITTING","tBodyAcc","mean","Z",-0.15085028
1,"TRAIN","SITTING","tBodyAcc","mean","Z",-0.14597431
1,"TRAIN","SITTING","tBodyAcc","mean","Z",-0.12361242
1,"TRAIN","SITTING","tBodyAcc","mean","Z",-0.12283791
1,"TRAIN","SITTING","tBodyAcc","mean","Z",-0.11673889
1,"TRAIN","SITTING","tBodyAcc","mean","Z",-0.11592994
1,"TRAIN","SITTING","tBodyAcc","mean","Z",-0.11323643
1,"TRAIN","SITTING","tBodyAcc","mean","Z",-0.11281565
1,"TRAIN","SITTING","tBodyAcc","mean","Z",-0.11220537
1,"TRAIN","SITTING","tBodyAcc","mean","Z",-0.1116638
1,"TRAIN","SITTING","tBodyAcc","mean","Z",-0.11139287
1,"TRAIN","SITTING","tBodyAcc","mean","Z",-0.1111806
1,"TRAIN","SITTING","tBodyAcc","mean","Z",-0.11051668
